Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08,3750.0,3886.949951171875,3737.85009765625,3868.550048828125,3786.98681640625,784169
2022-03-09,3901.5,3981.300048828125,3882.199951171875,3930.449951171875,3847.58154296875,809369
2022-03-10,3975.0,3986.5,3875.550048828125,3892.5,3810.431884765625,712099
2022-03-11,3893.0,3996.0,3873.0,3975.60009765625,3891.77978515625,1113263
2022-03-14,3961.0,3994.64990234375,3925.0,3957.300048828125,3873.86572265625,570058
2022-03-15,3958.0,3999.0,3880.0,3899.85009765625,3817.626953125,471294
2022-03-16,3974.0,3974.0,3890.0,3943.800048828125,3860.650390625,358776
2022-03-17,3965.10009765625,4050.0,3946.199951171875,4042.14990234375,3956.926513671875,772587
2022-03-21,4074.0,4082.949951171875,3996.75,4004.949951171875,3920.510986328125,401639
2022-03-22,4021.0,4056.949951171875,3970.0,4030.35009765625,3945.37548828125,1290222
2022-03-23,4040.0,4188.9501953125,4040.0,4127.2998046875,4040.281005859375,1044114
2022-03-24,4113.0,4348.5498046875,4101.4501953125,4328.5,4237.2392578125,1738147
2022-03-25,4327.0,4375.0,4290.0,4361.4501953125,4269.49462890625,864397
2022-03-28,4359.7998046875,4362.9501953125,4239.14990234375,4285.4501953125,4195.0966796875,496907
2022-03-29,4294.0,4355.5498046875,4247.0498046875,4323.5498046875,4232.39306640625,421084
2022-03-30,4352.7998046875,4366.5,4284.10009765625,4354.39990234375,4262.5927734375,616826
2022-03-31,4353.0,4387.5,4280.10009765625,4295.4501953125,4204.88671875,611719
2022-04-01,4295.0,4334.64990234375,4263.0,4279.4501953125,4189.22314453125,313871
2022-04-04,4340.0,4340.0,4270.0,4317.14990234375,4226.12841796875,259774
2022-04-05,4338.89990234375,4408.0,4302.75,4329.89990234375,4238.609375,479865
2022-04-06,4330.0,4355.0,4266.2998046875,4276.75,4186.58056640625,411951
2022-04-07,4295.0,4357.0498046875,4276.75,4317.39990234375,4226.373046875,279402
2022-04-08,4347.0,4477.64990234375,4326.85009765625,4430.35009765625,4336.9423828125,671775
2022-04-11,4430.0,4450.0,4373.4501953125,4380.5,4288.14306640625,215559
2022-04-12,4376.0,4408.10009765625,4328.64990234375,4372.35009765625,4280.16455078125,371014
2022-04-13,4351.0,4362.35009765625,4290.60009765625,4299.2001953125,4208.5576171875,369436
2022-04-18,4275.0,4318.4501953125,4230.7001953125,4284.9501953125,4194.607421875,339676
2022-04-19,4310.0,4316.10009765625,4190.0,4209.7001953125,4120.94384765625,310144
2022-04-20,4217.0,4340.0,4213.0498046875,4293.39990234375,4202.87939453125,450415
2022-04-21,4319.0,4351.5498046875,4310.0,4320.2998046875,4229.2119140625,394436
2022-04-22,4296.9501953125,4299.0,4167.0,4192.75,4104.3515625,390743
2022-04-25,4150.0,4179.7001953125,4061.0,4115.4501953125,4028.681396484375,341136
2022-04-26,4175.0,4185.25,4131.0498046875,4154.5498046875,4066.956298828125,158445
2022-04-27,4154.5498046875,4163.7001953125,4072.550048828125,4077.050048828125,3991.090576171875,198700
2022-04-28,4100.0,4151.64990234375,4081.60009765625,4122.14990234375,4035.23974609375,300961
2022-04-29,4160.0,4266.0,4115.10009765625,4131.9501953125,4044.83349609375,523035
2022-05-02,4122.14990234375,4145.25,4070.0,4123.89990234375,4036.952880859375,185060
2022-05-04,4124.0,4135.39990234375,3967.0,3992.35009765625,3908.1767578125,342495
2022-05-05,4050.0,4074.89990234375,3951.0,3963.800048828125,3880.228515625,252931
2022-05-06,3929.800048828125,3948.85009765625,3880.0,3930.64990234375,3847.77734375,239479
2022-05-09,3929.0,3935.949951171875,3870.64990234375,3905.800048828125,3823.451416015625,177355
2022-05-10,3900.0,3934.0,3890.0,3914.0,3831.478515625,202828
2022-05-11,3895.5,3942.949951171875,3851.0,3884.050048828125,3802.159912109375,271256
2022-05-12,3861.5,3896.199951171875,3789.85009765625,3880.0,3798.1953125,293629
2022-05-13,3899.39990234375,3979.0,3890.5,3924.300048828125,3841.5615234375,218401
2022-05-16,3923.0,3955.0,3861.050048828125,3888.39990234375,3806.418212890625,217915
2022-05-17,3934.89990234375,3944.85009765625,3871.0,3904.0,3821.689453125,255464
2022-05-18,3914.0,3984.949951171875,3882.0,3905.800048828125,3823.451416015625,500158
2022-05-19,3886.0,4014.75,3829.050048828125,3929.449951171875,3846.602783203125,1825811
2022-05-20,3975.0,4299.10009765625,3975.0,4249.10009765625,4159.513671875,2480315
2022-05-23,4249.10009765625,4327.0,4236.2001953125,4274.9501953125,4184.81884765625,607072
2022-05-24,4273.89990234375,4375.0,4256.4501953125,4347.10009765625,4255.447265625,1010896
2022-05-25,4391.10009765625,4398.0,4296.2998046875,4307.4501953125,4216.6328125,500040
2022-05-26,4316.0,4349.0,4289.64990234375,4304.14990234375,4213.40234375,429072
2022-05-27,4320.0,4409.0,4268.9501953125,4390.5,4297.931640625,434291
2022-05-30,4404.0,4426.75,4351.10009765625,4370.2998046875,4278.15771484375,464803
2022-05-31,4355.0,4399.0,4330.60009765625,4369.64990234375,4277.521484375,476015
2022-06-01,4350.0,4361.64990234375,4301.10009765625,4319.0,4227.93896484375,354506
2022-06-02,4303.10009765625,4360.0,4290.0,4333.14990234375,4241.791015625,327935
2022-06-03,4359.7001953125,4391.64990234375,4314.7998046875,4340.0,4248.4970703125,284773
2022-06-06,4332.0,4353.64990234375,4271.0,4305.75,4214.96875,113211
2022-06-07,4260.0,4275.0,4103.7001953125,4143.9501953125,4056.58056640625,721003
2022-06-08,4174.0,4212.2998046875,4113.0,4199.14990234375,4110.61572265625,452982
2022-06-09,4170.10009765625,4335.0,4170.10009765625,4322.89990234375,4231.7568359375,740586
2022-06-10,4322.89990234375,4364.0,4281.7998046875,4351.5498046875,4259.80322265625,421496
2022-06-13,4323.0,4355.0,4256.5,4267.2001953125,4177.23193359375,367963
2022-06-14,4250.0,4324.9501953125,4239.0498046875,4311.0498046875,4220.1572265625,407181
2022-06-15,4306.7001953125,4349.10009765625,4287.0498046875,4335.5,4244.091796875,317063
2022-06-16,4350.0,4359.2998046875,4275.64990234375,4287.5,4197.103515625,350007
2022-06-17,4290.0,4298.89990234375,4066.050048828125,4146.7001953125,4059.272216796875,952974
2022-06-20,4146.7001953125,4179.2001953125,4107.10009765625,4151.7998046875,4064.264404296875,277515
2022-06-21,4160.10009765625,4276.5498046875,4160.10009765625,4268.64990234375,4178.6513671875,238311
2022-06-22,4281.0,4348.85009765625,4160.0,4260.89990234375,4171.064453125,569557
2022-06-23,4295.0,4307.7001953125,4255.0,4294.89990234375,4204.34716796875,335102
2022-06-24,4322.0,4372.5498046875,4292.0,4309.64990234375,4218.78662109375,303659
2022-06-27,4399.85009765625,4399.85009765625,4305.85009765625,4320.5498046875,4229.45654296875,332753
2022-06-28,4329.25,4380.0,4312.0,4374.60009765625,4282.36767578125,282443
2022-06-29,4357.10009765625,4408.75,4334.39990234375,4364.35009765625,4272.3330078125,381147
2022-06-30,4369.75,4415.0,4351.0,4393.7998046875,4301.162109375,369065
2022-07-01,4385.0,4395.0,4290.0498046875,4385.89990234375,4293.4287109375,304799
2022-07-04,4362.10009765625,4411.25,4296.0,4354.4501953125,4262.642578125,260698
2022-07-05,4364.89990234375,4467.5,4351.2001953125,4394.2001953125,4301.55419921875,486899
2022-07-06,4395.0,4443.2998046875,4379.35009765625,4390.0,4297.4423828125,335701
2022-07-07,4426.75,4443.0,4328.0,4336.4501953125,4245.02197265625,432222
2022-07-08,4330.0,4414.9501953125,4304.39990234375,4406.2001953125,4313.30126953125,417896
2022-07-11,4379.14990234375,4568.7001953125,4350.10009765625,4501.0,4436.30712890625,959408
2022-07-12,4470.10009765625,4539.0,4426.0,4483.7001953125,4448.90869140625,415874
2022-07-13,4494.5,4534.7001953125,4450.0,4501.60009765625,4466.669921875,378767
2022-07-14,4506.0,4608.0,4503.0498046875,4575.39990234375,4539.89697265625,884767
2022-07-15,4595.39990234375,4612.5498046875,4521.0,4546.0,4510.72509765625,300945
2022-07-18,4576.0,4613.7998046875,4455.2998046875,4466.10009765625,4431.4453125,467463
2022-07-19,4457.7998046875,4498.0,4435.14990234375,4447.89990234375,4413.38623046875,392384
2022-07-20,4490.0,4492.0,4440.0,4458.75,4424.15234375,226140
2022-07-21,4469.0,4486.85009765625,4356.0,4371.10009765625,4337.1826171875,625220
2022-07-22,4394.0,4406.7998046875,4353.0,4373.5,4339.56396484375,361263
2022-07-25,4377.64990234375,4390.85009765625,4300.0,4330.5498046875,4296.94677734375,345382
2022-07-26,4328.7998046875,4328.7998046875,4194.0498046875,4212.0,4179.31689453125,594233
2022-07-27,4207.9501953125,4300.0,4163.0,4286.0498046875,4252.7919921875,373254
2022-07-28,4314.0,4314.89990234375,4195.0,4260.0498046875,4226.994140625,566567
2022-07-29,4182.9501953125,4182.9501953125,4055.60009765625,4090.35009765625,4058.611083984375,1974495
2022-08-01,4139.7998046875,4139.7998046875,4100.5,4110.4501953125,4078.55517578125,427370
2022-08-02,4128.0,4128.0,4071.199951171875,4085.39990234375,4053.69921875,527023
2022-08-03,4094.949951171875,4104.0,4040.0,4096.2998046875,4064.514404296875,520197
2022-08-04,4110.0,4159.2998046875,4089.050048828125,4147.9501953125,4115.76416015625,601335
2022-08-05,4155.0,4193.7998046875,4143.85009765625,4156.85009765625,4124.59521484375,415079
2022-08-08,4156.85009765625,4234.0,4156.85009765625,4223.35009765625,4190.5791015625,408377
2022-08-10,4243.60009765625,4264.0,4214.5498046875,4243.2998046875,4210.3740234375,421623
2022-08-11,4260.0,4278.0,4235.89990234375,4258.2998046875,4225.25732421875,257037
2022-08-12,4258.0,4289.60009765625,4221.0,4260.7998046875,4227.73828125,404258
2022-08-16,4275.0,4319.0,4262.7998046875,4297.7998046875,4264.451171875,262813
2022-08-17,4317.9501953125,4329.89990234375,4291.75,4315.89990234375,4282.41064453125,433811
2022-08-18,4240.0,4240.0,4133.35009765625,4225.10009765625,4192.3154296875,1027584
2022-08-19,4232.0,4247.10009765625,4185.0,4204.0,4171.37890625,385741
2022-08-22,4169.10009765625,4229.9501953125,4160.0,4186.9501953125,4154.46142578125,338562
2022-08-23,4145.0,4235.2001953125,4145.0,4225.14990234375,4192.36474609375,279630
2022-08-24,4246.2998046875,4246.2998046875,4197.0,4218.0498046875,4185.31982421875,293437
2022-08-25,4239.14990234375,4263.89990234375,4212.0,4237.89990234375,4205.01611328125,310575
2022-08-26,4273.0,4275.0,4212.14990234375,4223.2998046875,4190.529296875,163737
2022-08-29,4170.0,4223.25,4157.14990234375,4210.14990234375,4177.48095703125,193210
